description,genres,rating,title
"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","Action,Adventure,Sci-Fi","(8.8,)",Inception
"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.","Action,Adventure,Fantasy","(8.7,)",Star Wars: Episode V - The Empire Strikes Back
"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Action,Sci-Fi","(8.7,)",The Matrix
"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","Biography,Crime,Drama","(8.7,)",Goodfellas
"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",Drama,"(8.7,)",One Flew Over the Cuckoo's Nest
"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","Adventure,Drama,Sci-Fi","(8.7,)",Interstellar
"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Crime,Drama,Mystery","(8.6,)",Se7en
An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"Drama,Family,Fantasy","(8.6,)",It's a Wonderful Life
"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.","Action,Drama","(8.6,)",Seven Samurai
"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Crime,Drama,Thriller","(8.6,)",The Silence of the Lambs
"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","Drama,War","(8.6,)",Saving Private Ryan
"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Crime,Drama","(8.6,)",City of God
"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.","Comedy,Drama,Romance","(8.6,)",Life Is Beautiful
"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to help stave off the condemned man's execution.","Crime,Drama,Fantasy","(8.6,)",The Green Mile
"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.","Action,Adventure,Sci-Fi","(8.6,)",Terminator 2: Judgment Day
"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","Action,Adventure,Fantasy","(8.6,)",Star Wars: Episode IV - A New Hope
"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","Adventure,Comedy,Sci-Fi","(8.5,)",Back to the Future
"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.","Animation,Adventure,Family","(8.6,)",Spirited Away
"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.","Biography,Drama,Music","(8.5,)",The Pianist
Greed and class discrimination threaten the newly-formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,"Drama,Thriller","(8.5,)",Parasite
A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,"Horror,Mystery,Thriller","(8.5,)",Psycho
A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"Action,Adventure,Drama","(8.5,)",Gladiator
"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Animation,Adventure,Drama","(8.5,)",The Lion King
"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.","Animation,Action,Adventure","(8.6,)",Spider-Man: Across the Spider-Verse
An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"Crime,Drama,Thriller","(8.5,)",The Departed
A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"Drama,Music","(8.5,)",Whiplash
"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.","Action,Crime,Drama","(8.5,)",Léon: The Professional
"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.","Crime,Drama","(8.5,)",American History X
"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","Drama,Mystery,Sci-Fi","(8.5,)",The Prestige
Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,"Action,Adventure,Drama","(8.5,)",Dune: Part Two
A young boy and his little sister struggle to survive in Japan during World War II.,"Animation,Drama,War","(8.5,)",Grave of the Fireflies
"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.","Action,Drama,Mystery","(8.6,)",Harakiri
The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,"Crime,Drama,Mystery","(8.5,)",The Usual Suspects
A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,"Drama,Romance,War","(8.5,)",Casablanca
"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Comedy,Drama","(8.5,)",The Intouchables
"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema.","Drama,Romance","(8.5,)",Cinema Paradiso
The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,"Comedy,Drama,Romance","(8.5,)",Modern Times
"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.","Horror,Sci-Fi","(8.5,)",Alien
"A house and wheelchair-bound photographer, his fashion model girlfriend and his visiting Nurse spy on neighbors from his courtyard window. Despite skepticism by his PD Detective friend, they're convinced one of his neighbors is a murderer.","Mystery,Thriller","(8.5,)",Rear Window
A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,"Drama,Western","(8.5,)",Once Upon a Time in the West
"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","Comedy,Drama,Romance","(8.5,)",City Lights
"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.","Comedy,Drama,Western","(8.5,)",Django Unchained
A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"Drama,Mystery,War","(8.4,)",Apocalypse Now
"Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers.","Mystery,Thriller","(8.4,)",Memento
"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.","Animation,Adventure,Family","(8.4,)",WALL·E
"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers.","Action,Adventure","(8.4,)",Raiders of the Lost Ark
The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,"Biography,Drama","(8.9,)",12th Fail
"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.","Drama,Mystery,Thriller","(8.4,)",The Lives of Others
A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,"Drama,Film-Noir","(8.4,)",Sunset Boulevard
The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Action,Adventure,Sci-Fi","(8.4,)",Avengers: Infinity War
"After a failed attack on a German position, a general orders three soldiers, chosen at random, court-martialed for cowardice and their commanding officer must defend them.","Drama,War","(8.4,)",Paths of Glory
Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,"Animation,Action,Adventure","(8.4,)",Spider-Man: Into the Spider-Verse
A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,"Crime,Drama,Mystery","(8.4,)",Witness for the Prosecution
"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.","Drama,Horror","(8.4,)",The Shining
Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,"Comedy,Drama,War","(8.4,)",The Great Dictator
"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.","Action,Adventure,Sci-Fi","(8.4,)",Aliens
"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","Adventure,Drama,War","(8.4,)",Inglourious Basterds
"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.","Action,Drama,Thriller","(8.4,)",The Dark Knight Rises
"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Animation,Adventure,Drama","(8.4,)",Coco
"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.","Biography,Drama,Music","(8.4,)",Amadeus
"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.","Comedy,War","(8.3,)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.","Action,Drama,Mystery","(8.3,)",Oldboy
A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,"Animation,Adventure,Comedy","(8.3,)",Toy Story
A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Drama,"(8.3,)",American Beauty
"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Action,Adventure,Drama","(8.4,)",Avengers: Endgame
Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,"Biography,Drama,War","(8.3,)",Braveheart
A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,"Drama,War","(8.4,)",Das Boot
"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life.","Drama,Romance","(8.3,)",Good Will Hunting
"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.","Animation,Action,Adventure","(8.3,)",Princess Mononoke
"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of crime and chaos in Gotham City.","Crime,Drama,Thriller","(8.4,)",Joker
"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.","Animation,Drama,Fantasy","(8.4,)",Your Name.
An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,"Crime,Drama,Mystery","(8.4,)",High and Low
"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","Comedy,Drama","(8.4,)",3 Idiots
"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.","Crime,Drama","(8.3,)",Once Upon a Time in America
A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,"Comedy,Musical,Romance","(8.3,)",Singin' in the Rain
"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Drama,"(8.4,)",Capernaum
"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.","Drama,Thriller,War","(8.4,)",Come and See
The drug-induced utopias of four Coney Island people are shattered when their addictions run deep..,Drama,"(8.3,)",Requiem for a Dream
"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","Animation,Adventure,Comedy","(8.3,)",Toy Story 3
"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.","Action,Adventure,Fantasy","(8.3,)",Star Wars: Episode VI - Return of the Jedi
"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.","Drama,Romance,Sci-Fi","(8.3,)",Eternal Sunshine of the Spotless Mind
"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Drama,"(8.3,)",The Hunt
"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.","Adventure,Sci-Fi","(8.3,)",2001: A Space Odyssey
A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Drama,"(8.3,)",Ikiru
"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","Crime,Thriller","(8.3,)",Reservoir Dogs
"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","Adventure,Biography,Drama","(8.3,)",Lawrence of Arabia
"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.","Comedy,Drama,Romance","(8.3,)",The Apartment
Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,"Drama,Mystery,War","(8.3,)",Incendies
The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,"Biography,Drama,History","(8.3,)",Oppenheimer
"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.","Action,Adventure,Mystery","(8.3,)",North by Northwest
"Miami in the 1980s: a determined criminal minded Cuban immigrant, becomes the biggest drug smuggler in Florida, and is eventually undone by his own drug addiction.","Crime,Drama","(8.3,)",Scarface
"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'","Drama,Mystery","(8.3,)",Citizen Kane
"A Los Angeles insurance representative is seduced by an alluring housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.","Crime,Drama,Film-Noir","(8.3,)",Double Indemnity
"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.","Crime,Mystery,Thriller","(8.3,)",M
"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.","Mystery,Romance,Thriller","(8.3,)",Vertigo
A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"Drama,War","(8.2,)",Full Metal Jacket
"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.","Comedy,Romance","(8.3,)",Amélie
A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,"Action,Crime,Drama","(8.3,)",Heat
"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","Animation,Adventure,Comedy","(8.3,)",Up
Alex DeLarge and his droogs barbarize a decaying near-future.,"Crime,Sci-Fi","(8.2,)",A Clockwork Orange
"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice.","Crime,Drama","(8.3,)",To Kill a Mockingbird
A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Drama,"(8.3,)",A Separation
Two grifters team up to pull off the ultimate con.,"Comedy,Crime,Drama","(8.3,)",The Sting
A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,"Action,Thriller","(8.2,)",Die Hard
"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.","Action,Adventure","(8.2,)",Indiana Jones and the Last Crusade
"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Drama,Family","(8.3,)",Like Stars on Earth
"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.","Drama,Sci-Fi","(8.3,)",Metropolis
"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","Comedy,Crime","(8.2,)",Snatch
"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.","Action,Drama,History","(8.2,)",1917
"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.","Crime,Drama,Mystery","(8.2,)",L.A. Confidential
"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Drama,"(8.3,)",Bicycle Thieves
"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.","Biography,Drama,History","(8.3,)",Hamilton
"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","Crime,Drama","(8.2,)",Taxi Driver
"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","Biography,Drama,History","(8.2,)",Downfall
"Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas.","Action,Biography,Drama","(8.3,)",Dangal
"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.","Action,Crime,Drama","(8.2,)",Batman Begins
"Two bounty hunters with the same intentions team up to track down a gang of outlaws led by a psychotic Mexican bandit, who is plotting an audacious bank robbery.","Drama,Western","(8.2,)",For a Few Dollars More
"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Biography,Comedy,Crime","(8.2,)",The Wolf of Wall Street
A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,"Biography,Comedy,Drama","(8.2,)",Green Book
"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.","Comedy,Music,Romance","(8.2,)",Some Like It Hot
"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.","Comedy,Drama,Family","(8.2,)",The Kid
"Fictionalized depiction of the 1947 Judges' Trial, the third of twelve trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their actions.","Drama,War","(8.3,)",Judgment at Nuremberg
"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.","Drama,Mystery","(8.2,)",The Father
"An insurance salesman is oblivious of the fact that his entire life is a TV show and his family members are mere actors. As he starts noticing things and uncovers the truth, he decides to escape.","Comedy,Drama","(8.2,)",The Truman Show
Seemingly timid but secretly ruthless ingenue Eve Harrington insinuates herself into the lives of aging Broadway star Margo Channing and her circle of theater friends in this Oscar-winning story.,Drama,"(8.2,)",All About Eve
"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.","Drama,Mystery,Thriller","(8.2,)",Shutter Island
"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Drama,"(8.2,)",There Will Be Blood
"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.","Action,Drama","(8.2,)",Top Gun: Maverick
"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger.","Action,Adventure,Sci-Fi","(8.2,)",Jurassic Park
"In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite.","Crime,Drama","(8.2,)",Casino
"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.","Action,Drama,War","(8.2,)",Ran
"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.","Drama,Mystery,Thriller","(8.2,)",The Sixth Sense
"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.","Drama,Fantasy,War","(8.2,)",Pan's Labyrinth
Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a newer outlaw known simply as The Schofield Kid.,"Drama,Western","(8.2,)",Unforgiven
Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,"Crime,Drama,Thriller","(8.2,)",No Country for Old Men
A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"Horror,Mystery,Sci-Fi","(8.2,)",The Thing
"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.","Biography,Drama,Mystery","(8.2,)",A Beautiful Mind
"After waking from a 4-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","Action,Crime,Thriller","(8.2,)",Kill Bill: Vol. 1
Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,"Adventure,Drama,Western","(8.2,)",The Treasure of the Sierra Madre
A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,"Action,Drama,Thriller","(8.2,)",Yojimbo
Allied prisoners of war plan for several hundred of their men to escape from a German camp during World War II.,"Adventure,Drama,Thriller","(8.2,)",The Great Escape
"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","Adventure,Comedy,Fantasy","(8.2,)",Monty Python and the Holy Grail
"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Animation,Adventure,Comedy","(8.2,)",Finding Nemo
"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.","Crime,Drama,Mystery","(8.2,)",Prisoners
"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Animation,Adventure,Family","(8.2,)",Howl's Moving Castle
"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.","Crime,Drama,Mystery","(8.2,)",Rashomon
"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.","Biography,Drama","(8.2,)",The Elephant Man
A former tennis star arranges the murder of his adulterous wife.,"Crime,Thriller","(8.2,)",Dial M for Murder
"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.","Drama,Mystery,Thriller","(8.1,)",Chinatown
A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,"Drama,Romance,War","(8.2,)",Gone with the Wind
"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.","Action,Comedy,Crime","(8.1,)","Lock, Stock and Two Smoking Barrels"
"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.","Action,Drama,Sci-Fi","(8.1,)",V for Vendetta
A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,"Drama,Mystery,Romance","(8.2,)",The Secret in Their Eyes
"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","Animation,Adventure,Comedy","(8.1,)",Inside Out
